"flight_date","source","destination","price","currency","company","scrape_date"
"2023-03-13 09:40:00","LIS","BSL",139.99,"EUR","EasyJet","2023-02-27"
"2023-03-13 09:40:00","LIS","BSL",120.49,"EUR","EasyJet","2023-03-04"
"2023-03-13 09:40:00","LIS","BSL",113.49,"EUR","EasyJet","2023-03-08"
"2023-03-13 09:40:00","LIS","BSL",115.99,"EUR","EasyJet","2023-03-11"
"2023-03-13 11:15:00","MLA","OTP",68.37,"EUR","RyanAir","2023-02-27"
"2023-03-13 15:00:00","OTP","MLA",41.37,"EUR","RyanAir","2023-02-27"
"2023-03-13 17:15:00","BSL","OPO",59.8,"EUR","EasyJet","2023-02-27"
"2023-03-13 17:15:00","BSL","OPO",65.65,"EUR","EasyJet","2023-03-04"
"2023-03-13 17:15:00","BSL","OPO",70.87,"EUR","EasyJet","2023-03-08"
"2023-03-13 17:15:00","BSL","OPO",79.84,"EUR","EasyJet","2023-03-11"
"2023-03-13 19:20:00","OPO","BSL",106.99,"EUR","EasyJet","2023-02-27"
"2023-03-13 19:20:00","OPO","BSL",106.99,"EUR","EasyJet","2023-03-04"
"2023-03-13 19:20:00","OPO","BSL",119.49,"EUR","EasyJet","2023-03-08"
"2023-03-13 19:20:00","OPO","BSL",139.99,"EUR","EasyJet","2023-03-11"
"2023-03-13 20:45:00","BSL","AMS",27.05,"EUR","EasyJet","2023-02-27"
"2023-03-13 20:45:00","BSL","AMS",25.97,"EUR","EasyJet","2023-03-04"
"2023-03-13 20:45:00","BSL","AMS",34.6,"EUR","EasyJet","2023-03-08"
"2023-03-13 20:45:00","BSL","AMS",41.07,"EUR","EasyJet","2023-03-10"
"2023-03-13 20:55:00","NCE","BSL",64.05,"EUR","EasyJet","2023-03-08"
"2023-03-14 06:00:00","OTP","GVA",499,"RON","WizzAir","2023-03-08"
"2023-03-14 06:00:00","OTP","GVA",349,"RON","WizzAir","2023-03-11"
"2023-03-14 06:00:00","OTP","GVA",549,"RON","WizzAir","2023-03-13"
"2023-03-14 06:40:00","OPO","BSL",36.49,"EUR","EasyJet","2023-02-27"
"2023-03-14 06:40:00","OPO","BSL",42.49,"EUR","EasyJet","2023-03-04"
"2023-03-14 06:40:00","OPO","BSL",46.99,"EUR","EasyJet","2023-03-08"
"2023-03-14 06:40:00","OPO","BSL",57.49,"EUR","EasyJet","2023-03-11"
"2023-03-14 06:45:00","BSL","AMS",22.52,"EUR","EasyJet","2023-02-27"
"2023-03-14 06:45:00","BSL","AMS",25.97,"EUR","EasyJet","2023-03-04"
"2023-03-14 06:45:00","BSL","AMS",30.57,"EUR","EasyJet","2023-03-08"
"2023-03-14 06:45:00","BSL","AMS",37,"EUR","EasyJet","2023-03-10"
"2023-03-14 08:35:00","GVA","OTP",80.99,"CHF","WizzAir","2023-03-08"
